lat,lon,name,amenity,category,neighbourhood
49.212995,-123.1401,Starbucks,cafe,food/drink,Marpole
49.2625252,-123.1943817,Point Grey Inter-Mennonite Fellowship (PGIMF),place_of_worship,arts/culture,West Point Grey
49.2643899,-123.0695091,Cabrito - Tapas Bebidas,restaurant,food/drink,Grandview-Woodland
49.2888774,-123.1214724,ILAC,school,education/childcare,Downtown
49.2848652,-123.125665,Spicy 6,restaurant,food/drink,West End
49.2492264,-123.1007752,Caffe Artigiano,cafe,food/drink,Riley Park
49.2500121,-123.1008107,French Table Bistro,restaurant,food/drink,Riley Park
49.2263027,-123.1287342,,atm,money,Oakridge
49.2802067,-123.099978,Golden Garden Vietnamese Cuisine,restaurant,food/drink,Downtown
49.2498744,-123.1007808,Old Bird,restaurant,food/drink,Riley Park
49.2797553,-123.0999341,Virtuous Pie,restaurant,food/drink,Downtown
49.280147,-123.0999031,Corning Drugs,pharmacy,healthcare,Downtown
49.2796195,-123.0999337,Starbucks,cafe,food/drink,Downtown
49.2800474,-123.1000247,Pharmatrust Pharmacy,pharmacy,healthcare,Downtown
49.2262222,-123.1287693,Tim Hortons,fast_food,food/drink,Oakridge
49.2452109,-123.101511,East is East - Main St,restaurant,food/drink,Riley Park
49.2327522,-123.1172852,Blenz,cafe,food/drink,Oakridge
49.279922,-123.0999324,Lo Cost Western Pharmacy,pharmacy,healthcare,Downtown
49.2890376,-123.1320221,Liuyishou Hotpot Robson,restaurant,food/drink,West End
49.2792232,-123.1168269,Gong Cha,cafe,food/drink,Downtown
49.2766268,-123.1001058,Pizza Farina,restaurant,food/drink,Downtown
49.2743218,-123.1269429,Kaide Sushi Bar,restaurant,food/drink,Downtown
49.2909348,-123.1360437,Sushiholic,restaurant,food/drink,West End
49.265853,-123.2114567,Allan Kardec Vancouver Society,place_of_worship,arts/culture,West Point Grey
49.2812722,-123.0472413,Le Petit Saigon,restaurant,food/drink,Hastings-Sunrise
49.2725297,-123.0562043,Panago Pizza,fast_food,food/drink,Hastings-Sunrise
49.2812284,-123.12038,Charlie's currency exchange,bureau_de_change,money,Downtown
49.2687359,-123.0456329,1st Ave Dental Group,dentist,healthcare,Hastings-Sunrise
49.2687365,-123.0457293,Fuku Ramen,restaurant,food/drink,Hastings-Sunrise
49.2687481,-123.0460362,Pharmasave Health Centre,pharmacy,healthcare,Hastings-Sunrise
49.2827166,-123.1048014,Tacofino,restaurant,food/drink,Downtown
49.2813057,-123.1079703,Mirai Sushi,restaurant,food/drink,Downtown
49.2640395,-123.1801008,Green Leaf Sushi,restaurant,food/drink,Kitsilano
49.2822371,-123.1310338,,community_centre,arts/culture,West End
49.2567827,-123.184916,Dairy Queen,fast_food,food/drink,Dunbar-Southlands
49.2254234,-123.0655278,Victoria Restaurant,restaurant,food/drink,Victoria-Fraserview
49.2880008,-123.1403568,Rio Brazilian Steakhouse,restaurant,food/drink,West End
49.28903,-123.1313276,Cinch Grill Italian,restaurant,food/drink,West End
49.29089,-123.1342671,Subway,fast_food,food/drink,West End
49.2081902,-123.1401346,Freshslice,fast_food,food/drink,Marpole
49.208235,-123.1401305,Donair Spot,fast_food,food/drink,Marpole
49.2792802,-123.1221082,,car_sharing,cars,Downtown
49.288517,-123.1200138,,car_sharing,cars,Downtown
49.288433,-123.1196552,,car_sharing,cars,Downtown
49.2255037,-123.0655768,South Vancouver Neighbourhood House,community_centre,arts/culture,Victoria-Fraserview
49.2257507,-123.0659387,Pho Thai Son Restaurant,restaurant,food/drink,Victoria-Fraserview
49.2258678,-123.0661456,On May Chinese Restaurant,restaurant,food/drink,Victoria-Fraserview
49.2318583,-123.0653897,Kim Phung Restaurant,restaurant,food/drink,Victoria-Fraserview
49.2312042,-123.0657754,Freshslice Pizza,fast_food,food/drink,Victoria-Fraserview
49.2320722,-123.065753,MK Chop Chop BBQ House,restaurant,food/drink,Victoria-Fraserview
49.2319986,-123.065745,Shun Fa Noodle House,restaurant,food/drink,Victoria-Fraserview
49.2335229,-123.0653161,Happy Sushi,restaurant,food/drink,Kensington-Cedar Cottage
49.2345972,-123.0656766,Pho Hue,restaurant,food/drink,Kensington-Cedar Cottage
49.2352414,-123.0652874,Brush Dental Clinic,dentist,healthcare,Kensington-Cedar Cottage
49.2353536,-123.065652,Banh Mi Saigon,restaurant,food/drink,Kensington-Cedar Cottage
49.2376464,-123.0655809,La Maison Da Nang,restaurant,food/drink,Kensington-Cedar Cottage
49.2385647,-123.0655669,Bun Cha Ca Hoang Yen,restaurant,food/drink,Kensington-Cedar Cottage
49.2385372,-123.0651956,Chau Veggie Express,restaurant,food/drink,Kensington-Cedar Cottage
49.2386583,-123.0655595,Kozak Ukraїnian Eatery,restaurant,food/drink,Kensington-Cedar Cottage
49.2429948,-123.0601948,17°C Dessert Café,restaurant,food/drink,Kensington-Cedar Cottage
49.2430699,-123.0603612,Kings Cafe,restaurant,food/drink,Kensington-Cedar Cottage
49.2428075,-123.0597783,Dentist on Kingsway,dentist,healthcare,Kensington-Cedar Cottage
49.2426381,-123.0592231,Pho Hoa Noodle Soup,restaurant,food/drink,Kensington-Cedar Cottage
49.2844778,-123.1123491,Simon Fraser University - Vancouver Campus,university,education/childcare,Downtown
49.2458146,-123.0900087,Masayoshi,restaurant,food/drink,Kensington-Cedar Cottage
49.2467148,-123.1010057,Meet on Main,restaurant,food/drink,Riley Park
49.2832439,-123.104844,Meet in Gastown,restaurant,food/drink,Downtown
49.2513521,-123.1011962,Bob Likes Thai Food,restaurant,food/drink,Riley Park
49.2507803,-123.1011735,The Fish Counter,restaurant,food/drink,Riley Park
49.2826068,-123.108081,Goldcorp Centre for the Arts,cinema,arts/culture,Downtown
49.2799912,-123.1164576,The Centre For Performing Arts,theatre,arts/culture,Downtown
49.2313896,-123.0657674,Mui Garden,restaurant,food/drink,Victoria-Fraserview
49.2630367,-123.1013042,Freshslice Pizza,fast_food,food/drink,Mount Pleasant
49.2630411,-123.1015414,Fable Diner,restaurant,food/drink,Mount Pleasant
49.2814683,-123.1172443,Glowbal,restaurant,food/drink,Downtown
49.215424,-123.1414876,,school,education/childcare,Marpole
49.2081236,-123.1407827,McDonald's,fast_food,food/drink,Marpole
49.265883,-123.0242786,McDonald's,fast_food,food/drink,Hastings-Sunrise
49.2467974,-123.068237,Subway,fast_food,food/drink,Kensington-Cedar Cottage
49.2500768,-123.0754182,CIBC,bank,money,Kensington-Cedar Cottage
49.2397524,-123.0656589,Husky,fuel,cars,Kensington-Cedar Cottage
49.2431859,-123.0614668,Scotiabank,bank,money,Kensington-Cedar Cottage
49.2453441,-123.0647227,Esso,fuel,cars,Kensington-Cedar Cottage
49.2335784,-123.0356778,,atm,money,Killarney
49.2343847,-123.0359255,CIBC,bank,money,Renfrew-Collingwood
49.2333893,-123.0664481,London Drugs,pharmacy,healthcare,Kensington-Cedar Cottage
49.2250307,-123.065343,Petro-Canada,fuel,cars,Victoria-Fraserview
49.2249906,-123.0543585,Chevron,fuel,cars,Victoria-Fraserview
49.233088,-123.0657292,McDonald's,fast_food,food/drink,Kensington-Cedar Cottage
49.233102,-123.0659438,Kent's Kitchen,fast_food,food/drink,Kensington-Cedar Cottage
49.233102,-123.066169,CIBC,atm,money,Kensington-Cedar Cottage
49.2324925,-123.0652357,BMO,bank,money,Victoria-Fraserview
49.2179211,-123.0774439,Chevron,fuel,cars,Sunset
49.2179175,-123.0766614,Hometown Pizza,fast_food,food/drink,Victoria-Fraserview
49.2599103,-123.077906,Shell,fuel,cars,Mount Pleasant
49.259793,-123.0771442,Super Save Gas,fuel,cars,Kensington-Cedar Cottage
49.2626077,-123.0779167,Petro-Canada,fuel,cars,Mount Pleasant
49.2256886,-123.0777235,Papa Dave's Pizza Indian Cuisine,fast_food,food/drink,Sunset
49.2182564,-123.0773813,McDonald's,fast_food,food/drink,Sunset
49.218387,-123.0766722,Petro-Canada,fuel,cars,Victoria-Fraserview
49.2329149,-123.0761197,East Side Craft House,pub,food/drink,Kensington-Cedar Cottage
49.2256116,-123.0777236,KFC,fast_food,food/drink,Sunset
49.2399746,-123.0767988,Petro-Canada,fuel,cars,Kensington-Cedar Cottage
49.2842334,-123.1090325,Water Street Cafe,restaurant,food/drink,Downtown
49.263537,-123.1271949,Minato Japanese Restaurant,restaurant,food/drink,Fairview
49.2633884,-123.1160798,McDonald's,fast_food,food/drink,Fairview
49.2635226,-123.1224895,TD Canada Trust,bank,money,Fairview
49.2635072,-123.1248994,Saravanaa Bhavan (South Indian),restaurant,food/drink,Fairview
49.2636175,-123.1293755,Finlandia Pharmacy,pharmacy,healthcare,Fairview
49.2634241,-123.1173128,Cactus Club Cafe,restaurant,food/drink,Fairview
49.2635191,-123.1231332,Tim Hortons,cafe,food/drink,Fairview
49.2632049,-123.1070497,Starbucks,cafe,food/drink,Mount Pleasant
49.2636456,-123.1316944,Royal Seoul House,restaurant,food/drink,Fairview
49.2635156,-123.1234175,Shoppers Drug Mart,pharmacy,healthcare,Fairview
49.2633312,-123.1130836,Menya Raizo,restaurant,food/drink,Mount Pleasant
49.2632776,-123.1106188,Fatburger,fast_food,food/drink,Mount Pleasant
49.2634113,-123.1182323,HSBC,bank,money,Fairview
49.2634842,-123.1209592,Broadway Medical Dental,doctors,healthcare,Fairview
49.2632663,-123.110529,,pub,food/drink,Mount Pleasant
49.2633362,-123.113621,Subway,fast_food,food/drink,Mount Pleasant
49.2634886,-123.1215189,A&W,fast_food,food/drink,Fairview
49.2370364,-123.0656459,Sandy La Chinese Restaurant,restaurant,food/drink,Kensington-Cedar Cottage
49.2371905,-123.0650559,Chevron,fuel,cars,Kensington-Cedar Cottage
49.2673455,-123.112992,Starbucks,cafe,food/drink,Mount Pleasant
49.2390725,-123.0650033,Dairy Queen,fast_food,food/drink,Kensington-Cedar Cottage
49.2769275,-123.0815616,La Casa Gelato,ice_cream,food/drink,Strathcona
49.2253629,-123.065926,The Medicine Shoppe,pharmacy,healthcare,Victoria-Fraserview
49.2412681,-123.1016459,Au Petit Café,restaurant,food/drink,Riley Park
49.291387,-123.1350164,Banana Leaf,restaurant,food/drink,West End
49.2907725,-123.1340782,Dinesty Dumpling House,restaurant,food/drink,West End
49.2906218,-123.1338516,McDonald's,fast_food,food/drink,West End
49.2899852,-123.1334918,Sushi Itoga,restaurant,food/drink,West End
49.2623252,-123.0886437,Nha Trang Restaurant,restaurant,food/drink,Mount Pleasant
49.2862655,-123.1276613,Momo Sushi,restaurant,food/drink,West End
49.2607875,-123.1008067,Mali Thai Food,restaurant,food/drink,Mount Pleasant
49.235221,-123.1157169,Starbucks,cafe,food/drink,Riley Park
49.234753,-123.1578937,Scotiabank,bank,money,Arbutus Ridge
49.2844578,-123.0656991,Scan-Delicious,restaurant,food/drink,Grandview-Woodland
49.2540898,-123.0835359,Windsor Dental Clinic,dentist,healthcare,Kensington-Cedar Cottage
49.2466625,-123.0687676,Moneymart,bank,money,Kensington-Cedar Cottage
49.2393554,-123.0521691,,dentist,healthcare,Renfrew-Collingwood
49.2344287,-123.0360721,Chef Pin,restaurant,food/drink,Renfrew-Collingwood
49.2623272,-123.0898418,Klasik Inasal,restaurant,food/drink,Mount Pleasant
49.291675,-123.1348931,Rad on Denman,restaurant,food/drink,West End
49.2798847,-123.1068032,Canra Plus,fast_food,food/drink,Downtown
49.2799835,-123.1065637,Ryo,fast_food,food/drink,Downtown
49.2800531,-123.1064691,India’s Flavour,fast_food,food/drink,Downtown
49.2800925,-123.1064315,Kazoku,fast_food,food/drink,Downtown
49.280725,-123.1066368,Find + Seek,community_centre,arts/culture,Downtown
49.2808969,-123.1073143,McDonald's,fast_food,food/drink,Downtown
49.2808034,-123.1074514,Goldies,restaurant,food/drink,Downtown
49.2808098,-123.1070156,Caveman Cafe,cafe,food/drink,Downtown
49.280211800000004,-123.1071123,Mtt Centre,bureau_de_change,money,Downtown
49.2802068,-123.1068483,Shiny Tea,bar,food/drink,Downtown
49.2799281,-123.1066781,Taco Time,fast_food,food/drink,Downtown
49.2801333,-123.1063965,Abdul's Bbq,restaurant,food/drink,Downtown
49.2799047,-123.106734,Bubble King,fast_food,food/drink,Downtown
49.2799553,-123.1066209,Tina,fast_food,food/drink,Downtown
49.2800166,-123.1065184,Thai Town,fast_food,food/drink,Downtown
49.2801753,-123.1063639,Wow Thai Food,fast_food,food/drink,Downtown
49.2802143,-123.1063341,Bali Thai,fast_food,food/drink,Downtown
49.2802598,-123.1063002,Giant Panda,fast_food,food/drink,Downtown
49.280766,-123.1068858,Piranha,community_centre,arts/culture,Downtown
49.2807019,-123.106855,Game Center,community_centre,arts/culture,Downtown
49.2309718,-123.0653719,Lucky Dragon Palace Restaurant,restaurant,food/drink,Victoria-Fraserview
49.2710854,-123.1553081,Cafe Zen,restaurant,food/drink,Kitsilano
49.2578875,-123.0331989,Esso,fuel,cars,Renfrew-Collingwood
49.2691827,-123.0694303,Federico's Supper Club,restaurant,food/drink,Grandview-Woodland
49.2777606,-123.0760415,Off The Rail Tasting Room,bar,food/drink,Grandview-Woodland
49.2774745,-123.0745168,Bomber Tasting Room,bar,food/drink,Grandview-Woodland
49.285214,-123.1112924,Zipcar,car_sharing,cars,Downtown
49.2697538,-123.1024558,,car_sharing,cars,Mount Pleasant
49.262662,-123.0926546,Tonari Gumi– Japanese Community Volunteers Association,community_centre,arts/culture,Mount Pleasant
49.2733358,-123.1195188,The Wine Bar,bar,food/drink,Downtown
49.2891552,-123.138644,Shoppers Drug Mart,pharmacy,healthcare,West End
49.2830915,-123.1356339,Kinara,restaurant,food/drink,West End
49.2916382,-123.1417864,,car_sharing,cars,West End
49.2869536,-123.1410819,The Park at English Bay,restaurant,food/drink,West End
49.28645,-123.1403248,Yummy to Go,fast_food,food/drink,West End
49.286609,-123.1405889,Grotto,restaurant,food/drink,West End
49.2865567,-123.1410036,Tim Hortons,cafe,food/drink,West End
49.2785849,-123.0706042,York Theatre,theatre,arts/culture,Grandview-Woodland
49.2701364,-123.1087347,BMO Theatre Centre,theatre,arts/culture,Mount Pleasant
49.2249319,-123.1086853,Studio 58,theatre,arts/culture,Oakridge
49.2037107,-123.1375228,Metro Theatre,theatre,arts/culture,Marpole
49.2911911,-123.1301625,PAL Studio Theatre,theatre,arts/culture,Downtown
49.2726318,-123.1353692,Fraser Valley Juice,fast_food,food/drink,Fairview
49.2726607,-123.1353169,Pizza Pzazz,fast_food,food/drink,Fairview
49.2849397,-123.0649633,Princeton Pub,pub,food/drink,Grandview-Woodland
49.2849952,-123.0643845,Husky,fuel,cars,Grandview-Woodland
49.2821283,-123.1164589,Bay Sushi Cafe,fast_food,food/drink,Downtown
