neighbourhood,arts/culture,cars,education/childcare,food/drink,healthcare,money
Arbutus Ridge,3.3846634157497446,3.937712993486631,1.017611223035871,48.358655077313344,4.092566875252959,4.38015265567614
Downtown,16.195878025918063,18.842263324270686,4.869348948968829,231.3999304879535,19.583251207809422,20.959371562952786
Dunbar-Southlands,4.85933891335519,5.653348539720417,1.4609777125120178,69.42820172937546,5.87567123510268,6.288556240812598
Fairview,8.274619225948758,9.626681190973065,2.4877940156447242,118.22429822172538,10.00525854117987,10.708330762992508
Grandview-Woodland,7.176094175281697,8.348658583007465,2.157518510215412,102.5290318115411,8.676976617170679,9.286710109188078
Hastings-Sunrise,8.096212496219719,9.419123034817712,2.4341553910203073,115.67529749500852,9.789537985625149,10.477451465696106
Kensington-Cedar Cottage,11.798324789771197,13.726155637773028,3.5472087603233664,168.56952934927997,14.265948275213539,15.268420316174492
Kerrisdale,3.05110038171442,3.5496461957200443,0.9173242977703485,43.59284597665178,3.689239023641619,3.948482846924543
Killarney,6.958092661664407,8.095035907034408,2.0919755714808024,99.4143173751529,8.413380015738008,9.004590503330409
Kitsilano,10.308916349323612,11.993379805095444,3.0994127586201707,147.289484572689,12.465029572711558,13.34095056971291
Marpole,5.7783062231336695,6.722473906652243,1.7372685376741752,82.55802224686406,6.986840858037444,7.477808053467101
Mount Pleasant,9.469829214017361,11.01718692872608,2.847138195064043,135.3009585741304,11.450447088844522,12.255073100493055
Oakridge,3.1415698588544356,3.6548982671639836,0.9445242712895688,44.8854360225869,3.798630221490657,4.065560993811623
Renfrew-Collingwood,12.102882342586058,14.080477496603388,3.638775083391887,172.92092026727533,14.63420413972824,15.662553619817253
Riley Park,5.37315029497482,6.25111602944783,1.615456951430338,76.76932382231998,6.496946435100273,6.953488617026238
Shaughnessy,1.8577320115010842,2.1612829937725033,0.5585338073794109,26.542497889812875,2.2462772688085004,2.4041237795896384
South Cambie,1.9051536712742219,2.2164532907634737,0.5727912998602236,27.22003872814019,2.3036171842204642,2.4654929863548753
Strathcona,2.997002857215937,3.4867092064342278,0.9010596825616544,42.81992317564731,3.623826984215349,3.87847428580886
Sunset,8.452105146750162,9.833168079225677,2.54115579575495,120.76014281565917,10.219865700318822,10.93801842520609
Victoria-Fraserview,7.233874935490714,8.415880643904229,2.174890503480868,103.35457914367778,8.746842242260014,9.361485210635042
West End,11.514255235596186,13.39566948977857,3.4618022276955855,164.5108623857076,13.922465480949638,14.900800893124478
West Point Grey,3.070897773658545,3.5726784556288957,0.923276454825445,43.87570283148745,3.713177046580594,3.9741030012051763
